"s","beta.hat","CI.lower.pointwise","CI.upper.pointwise","CI.lower.joint","CI.upper.joint"
164,-0.0196127351362564,-0.301960138303373,0.26273466803086,-0.482674967557546,0.443449497285034
165,-0.0176489098377167,-0.302543185732293,0.267245366056859,-0.484888126207297,0.449590306531863
166,-0.017889747835664,-0.300224324662771,0.264444828991444,-0.480930944491894,0.445151448820566
167,-0.019325191576056,-0.296718090945863,0.258067707793751,-0.474261818579385,0.435611435427273
168,-0.0192290065218007,-0.295082131432411,0.256624118388809,-0.471640335291454,0.433182322247852
169,-0.019891583249495,-0.299554557451625,0.259771390952635,-0.478551233407376,0.438768066908386
170,-0.0253336072661383,-0.309566085369572,0.258898870837295,-0.491487445979893,0.440820231447616
171,-0.032529665462992,-0.317800679311407,0.252741348385423,-0.500386748743993,0.435327417818009
172,-0.0338621546475727,-0.318895220571296,0.251170911276151,-0.501328992805113,0.433604683509968
173,-0.0287113117950246,-0.311867968404502,0.254445344814453,-0.49310075566367,0.435678132073621
174,-0.0245800065422897,-0.297467878285022,0.248307865200443,-0.472128188931953,0.422968175847373
175,-0.0252512330117314,-0.282468607358059,0.231966141334596,-0.4470991063986,0.396596640375138
